MessageLength;TagBits;Precompute;Parallel;RandomKeys;Encoding;TimePrecompute;Tag;TimeUs;CyclesPerByte
1000000;128;0;0;0;0;0;b89efd1b44313b8b7757ef648fa28a7d;0.55;1.75
1000000;128;1;0;0;0;0;b89efd1b44313b8b7757ef648fa28a7d;0.21;0.68
1000000;128;0;0;0;0;0;8f54ac278efc957e8a954a0237affae3;0.55;1.76
1000000;128;1;0;0;0;0;8f54ac278efc957e8a954a0237affae3;0.21;0.67
1000000;96;0;0;0;0;0;b89efd1b44313b8b7757ef64;0.54;1.74
1000000;96;1;0;0;0;0;b89efd1b44313b8b7757ef64;0.22;0.71
1000000;96;0;0;0;0;0;52c83d3edf6b40358677658f;0.56;1.79
1000000;96;1;0;0;0;0;52c83d3edf6b40358677658f;0.22;0.71
1000000;64;0;0;0;0;0;b89efd1b44313b8b;0.56;1.79
1000000;64;1;0;0;0;0;b89efd1b44313b8b;0.22;0.71
1000000;64;0;0;0;0;0;fc5cb49111d9c568;0.56;1.81
1000000;64;1;0;0;0;0;fc5cb49111d9c568;0.22;0.72
1000000;32;0;0;0;0;0;b89efd1b;0.56;1.79
1000000;32;1;0;0;0;0;b89efd1b;0.22;0.71
1000000;32;0;0;0;0;0;2c4bbf16;0.56;1.80
1000000;32;1;0;0;0;0;2c4bbf16;0.22;0.71
16;128;0;0;0;1;0;ec38ba4b4475d9d59e60b2d92d5b6a8a;0.00;112.55
16;128;1;0;0;1;0;ec38ba4b4475d9d59e60b2d92d5b6a8a;0.00;72.15
16;128;0;0;0;1;0;cc9c64c5a2ba9c6c74890daaddc557b5;0.00;110.41
16;128;1;0;0;1;0;cc9c64c5a2ba9c6c74890daaddc557b5;0.00;71.74
16;96;0;0;0;1;0;ec38ba4b4475d9d59e60b2d9;0.00;109.99
16;96;1;0;0;1;0;ec38ba4b4475d9d59e60b2d9;0.00;71.11
16;96;0;0;0;1;0;9c11f93705693ae8b5f99e8a;0.00;114.54
16;96;1;0;0;1;0;9c11f93705693ae8b5f99e8a;0.00;70.44
16;64;0;0;0;1;0;ec38ba4b4475d9d5;0.00;107.32
16;64;1;0;0;1;0;ec38ba4b4475d9d5;0.00;69.50
16;64;0;0;0;1;0;60b7694927dc948e;0.00;105.07
16;64;1;0;0;1;0;60b7694927dc948e;0.00;68.65
16;32;0;0;0;1;0;ec38ba4b;0.00;104.52
16;32;1;0;0;1;0;ec38ba4b;0.00;67.37
16;32;0;0;0;1;0;2971250f;0.00;102.06
16;32;1;0;0;1;0;2971250f;0.00;66.80
128;128;0;0;0;1;0;2d85aec25f8e75ce4120cd13d862fc4a;0.00;17.79
128;128;1;0;0;1;0;2d85aec25f8e75ce4120cd13d862fc4a;0.00;9.29
128;128;0;0;0;1;0;6e221d8bb89e5912d5ff15fc03350c7a;0.00;17.56
128;128;1;0;0;1;0;6e221d8bb89e5912d5ff15fc03350c7a;0.00;9.45
128;96;0;0;0;1;0;2d85aec25f8e75ce4120cd13;0.00;17.19
128;96;1;0;0;1;0;2d85aec25f8e75ce4120cd13;0.00;9.29
128;96;0;0;0;1;0;a7ccf942d62ba2dd361b17a4;0.00;17.19
128;96;1;0;0;1;0;a7ccf942d62ba2dd361b17a4;0.00;9.54
128;64;0;0;0;1;0;2d85aec25f8e75ce;0.00;17.66
128;64;1;0;0;1;0;2d85aec25f8e75ce;0.00;9.29
128;64;0;0;0;1;0;f49022092ba422b0;0.00;17.31
128;64;1;0;0;1;0;f49022092ba422b0;0.00;9.29
128;32;0;0;0;1;0;2d85aec2;0.00;17.20
128;32;1;0;0;1;0;2d85aec2;0.00;9.61
128;32;0;0;0;1;0;5af5955f;0.00;17.22
128;32;1;0;0;1;0;5af5955f;0.00;9.38
1024;128;0;0;0;1;0;5d13570fe09c88cf3d442da19adefe2a;0.00;6.37
1024;128;1;0;0;1;0;5d13570fe09c88cf3d442da19adefe2a;0.00;1.78
1024;128;0;0;0;1;0;9e2ac0121c72401156078441bdb56ff3;0.00;6.25
1024;128;1;0;0;1;0;9e2ac0121c72401156078441bdb56ff3;0.00;1.76
1024;96;0;0;0;1;0;5d13570fe09c88cf3d442da1;0.00;6.23
1024;96;1;0;0;1;0;5d13570fe09c88cf3d442da1;0.00;1.74
1024;96;0;0;0;1;0;6808f374253c0b539479db2e;0.00;6.38
1024;96;1;0;0;1;0;6808f374253c0b539479db2e;0.00;1.75
1024;64;0;0;0;1;0;5d13570fe09c88cf;0.00;6.26
1024;64;1;0;0;1;0;5d13570fe09c88cf;0.00;1.77
1024;64;0;0;0;1;0;408970dbba326f90;0.00;6.32
1024;64;1;0;0;1;0;408970dbba326f90;0.00;1.73
